company_id,company_name,issue_type,recommended_action,details
67,HABERLEŞME TEKNOLOJİLERİ KÜMELENMESİ ,encoding_issue,MANUAL_REVIEW,encoding issue
135,SMTLİME ELEKTRONİK SAN. VE TİC. A.Ş,encoding_issue,MANUAL_REVIEW,encoding issue
180,S&AMP;P AFS HAVALANDIRMA,html_entity,NORMALIZE,html entity
294,BERTELLI&AMP;PARTNERS,html_entity,NORMALIZE,html entity
704,"SAINT GERMAIN SHUNTONG HANGZHOU TECHNOLOGY CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
1070,MKS MOTOR VE KONTROL SİSTEMLERİ A.Ş. -  A-OK TÜRKİYE,encoding_issue,MANUAL_REVIEW,encoding issue
1082,SKS MONOSTAR PANJUR SAN. VE TİC. A. Ş.  / SKS / FERRINI,encoding_issue,MANUAL_REVIEW,encoding issue
1151,UNİTED GRUP,encoding_issue,MANUAL_REVIEW,encoding issue
4059,ALFEMO ÇOCUK &amp; GENÇ,html_entity,NORMALIZE,html entity
4348,SIT DESIGN INTERIOR DESIGN &amp; ARCHITECTURE,html_entity,NORMALIZE,html entity
4411,M&amp;N FURNITURE TRADING SDN BHD,html_entity,NORMALIZE,html entity
4626,M&amp;G LOJISTIK,html_entity,NORMALIZE,html entity
4973,"WENZHOU BONVAN STATIONERY &amp; GIFTS CO., LTD.",html_entity,NORMALIZE,html entity
5587,"ZHEJIANG ZHUOYI INDUSTRIAL &amp; TRADING CO., LTD.",html_entity,NORMALIZE,html entity
5619,"CONTEC MEDICAL SYSTEMS CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
5628,"GUANGZHOU RAINHOME PHARM &amp; TECH CO., LTD.",html_entity,NORMALIZE,html entity
5644,"MICROCURE&amp;#65288;SUZHOU&amp;#65289;MEDICAL TECHNOLOGY CO., LTD. ",html_entity,NORMALIZE,html entity
5649,SHANDONG RUYUE MEDICAL TECHNOLOGY CO.&amp;#65292;LTD,html_entity,NORMALIZE,html entity
5853,"LIFE MEDICAL EQUIPMENT&amp;#65288;GUANGZHOU&amp;#65289;CO., LTD.",html_entity,NORMALIZE,html entity
6307,JK FILES &amp; ENGINEERING LTD,html_entity,NORMALIZE,html entity
6323,"JIAXING CHINAFAR STANDARD PARTS CO.,LTD",encoding_issue,MANUAL_REVIEW,encoding issue
6817,ÖZPINARCI KIDS AYAKKABI &#8211; GÜVEN ÇALISKAN,html_entity,NORMALIZE,html entity
