fair_id,fair_name,start_fair,end_fair,fair_area,fair_website,email_subject,issue_type,recommended_action,details
1,ISAF - IMEX,2025-10-08 00:00:00,2025-10-11 00:00:00,IFM (CNR),https://www.isaffuari.com,ISAF - IMEX Fuarı,email_subject_present,KEEP,email subject present
2,ISK-SODEX,2025-10-22 00:00:00,2025-10-25 00:00:00,IFM (CNR),https://www.sodex.com.tr/tr,ISK-SODEX Fuarı,email_subject_present,KEEP,email subject present
3,KARAVAN SHOW EURASIA,2025-09-23 00:00:00,2025-09-27 00:00:00,IFM (CNR),https://karavanshow.com/katilimci-listesi,KARAVAN Show Eurasia Fuarı,email_subject_present,KEEP,email subject present
4,METAL EXPO EURASIA İSTANBUL,2025-09-24 00:00:00,2025-09-27 00:00:00,IFM (CNR),https://www.metalexpo.com.tr/katilimci-listesi-2024,METAL EXPO EURASIA İSTANBUL,email_subject_present,KEEP,email subject present
5,R+T Turkey,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,future_start_fair,NULLIFY,future start fair
5,R+T Turkey,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,future_end_fair,NULLIFY,future end fair
5,R+T Turkey,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,empty_fair_website,KEEP,empty fair website
5,R+T Turkey,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,empty_email_subject,KEEP,empty email subject
6,TINY HOME SHOW,2025-09-23 00:00:00,2025-09-27 00:00:00,IFM (CNR),https://tinyhouse.ist/katilimci-listesi,Tiny Home Show,email_subject_present,KEEP,email subject present
7,TRADEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,future_start_fair,NULLIFY,future start fair
7,TRADEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,future_end_fair,NULLIFY,future end fair
7,TRADEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,empty_fair_website,KEEP,empty fair website
7,TRADEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),,,empty_email_subject,KEEP,empty email subject
8,EV Charge Show,2025-11-12 00:00:00,2025-11-14 00:00:00,IFM (CNR),https://evchargeshow.com/tr/anasayfa/,EV Charge Show Fuarı,email_subject_present,KEEP,email subject present
9,Aysaf Ayakkabı Yan Sanayi Fuarı,2025-11-12 00:00:00,2025-11-15 00:00:00,IFM (CNR),https://www.aysafexpo.com,Aysaf Ayakkabı Yan Sanayi Fuarı,email_subject_present,KEEP,email subject present
10,Peyzaj İstanbul Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/ziyaretci-genel-bilgiler/,Peyzaj İstanbul Fuarı,future_start_fair,NULLIFY,future start fair
10,Peyzaj İstanbul Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/ziyaretci-genel-bilgiler/,Peyzaj İstanbul Fuarı,future_end_fair,NULLIFY,future end fair
10,Peyzaj İstanbul Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/ziyaretci-genel-bilgiler/,Peyzaj İstanbul Fuarı,email_subject_present,KEEP,email subject present
11,Fespa Eurasia,2025-09-24 00:00:00,2025-09-27 00:00:00,IFM (CNR),https://fespaeurasia.com.tr/katilimci-listesi/,Fespa Eurasia,email_subject_present,KEEP,email subject present
