normalized_name,company_ids,original_names,fair_count,fair_names,same_fair_overlap,scenario,confidence,recommendation,duplicate_relation_count,country_ids,phones,websites,emails
onare endustriyel ambalajlama,3261|21959|25072|25605|28208|32187,ONARE ENDÜSTRİYEL AMBALAJLAMA | ONARE ENDÜSTRIYEL AMBALAJLAMA A.S. | ONARE ENDUSTRIYEL AMBALAJLAMA A.S. | ONARE ENDÜSTRİYEL AMBALAJLAMA A.Ş. | ONARE ENDÜSTRİYEL AMBALAJLAMA A.Ş. | ONARE ENDÜSTRİYEL AMBALAJLAMA A.Ş.,6,Avrasya Ambalaj | IDEF | METAL EXPO EURASIA İSTANBUL | Maktek Avrasya | Robot Yatırımları Zirvesi ve Sergisi | Wire - Tube Eurasia ,False,A,HIGH,Auto merge candidate,0,1,2122825434,onare.com,info@onare.com
akinal ayakkabicilik,1330|6837|9221|12928|25408,AKINAL AYAKKABICILIK | AKINAL AYAKKABICILIK SAN. TIC. A.S | AKINAL AYAKKABICILIK SAN.VE TIC.A.S. | AKINAL AYAKKABICILIK SAN. VE TIC. A.S. | AKINAL AYAKKABICILIK SAN. VE TİC. A.Ş.,5,AYMOD - Ayakkabı Moda Fuarı | Aysaf Ayakkabı Yan Sanayi Fuarı | Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | SolarEx İstanbul Güneş Enerjisi & Teknolojileri Fuarı,False,A,HIGH,Auto merge candidate,0,1,3423374332,akinal.com.tr,akinal@akinal.com.tr | info@akinal.com.tr | mete@akinal.com.tr
abb elektrik,1240|11485|24905|33172,ABB ELEKTRİK SANAYİ A.Ş. | ABB ELEKTRİK SAN. A.Ş. | ABB ELEKTRİK SANAYİ A.Ş | ABB ELEKTRİK SANAYİ A.Ş.,4,BusWorld | EV Charge Show | Electricity Eurasia | Maden Türkiye Uluslararası Madencilik Fuarı,False,A,HIGH,Auto merge candidate,0,1,8503331222,new.abb.com,cihan.uret@tr.abb.com | contact.center@tr.abb.com | info@tr.abb.com
aspower enerji elektronik,1245|16941|23171|32991,ASPOWER ENERJİ VE ELEKTRONİK SANAYİ TİCARET A.Ş. | ASPOWER ENERJİ VE ELEKTRONİK SAN.TİC.A.Ş. | ASPOWER ENERJI VE ELEKTRONIK SAN. TIC. A.S. | ASPOWER ENERJİ VE ELEKTRONİK SANAYİ TİCARET A.Ş,4,EIF | EV Charge Show | Saha Expo | Solar Storage,False,A,HIGH,Auto merge candidate,0,1,8502410510,aspower.com.tr,info@aspower.com.tr | teklif@aspower.com.tr
denge teknik cihazlar,10956|19339|25036|30519,DENGE TEKNIK CIHAZLAR SAN. VE TIC. LTD. STI. | DENGE TEKNIK CIHAZLAR SAN. TIC. LTD. STI. | DENGE TEKNIK CIHAZLAR SAN. VE TIC. LTD.STI. | DENGE TEKNİK CİHAZLAR SAN. TİC. LTD. ŞTİ.,4,ALUEXPO | Ankiros | METAL EXPO EURASIA İSTANBUL | Maden Türkiye Uluslararası Madencilik Fuarı,False,A,HIGH,Auto merge candidate,0,1,905303735935,,duran.uslu@dengeteknik.com.tr | info@dengeteknik.com.tr
dtr turkey makine ith ihr,2529|11142|25791|31857,DTR TURKEY MAKINE ITH. IHR. LTD. STI. | DTR TURKEY MAKİNE İTH. İHR. LTD. ŞTİ. | DTR Turkey Makine İth. İhr. Ltd. Şti. | DTR TURKEY MAKİNE İTH. İHR. LTD. ŞTİ.,4,IFAT Eurasia 2025 | Maden Türkiye Uluslararası Madencilik Fuarı | Plast Eurasia İstanbul | RePlast Eurasia,False,A,HIGH,Auto merge candidate,0,1,5308552069,dtrmakina.com,info@dtrmakina.com
er mo nalburiye,12872|23010|25412|28692,ER-MO NALBURIYE SANAYI VE TICARET LIMITED SIRKETI | ER-MO NALBURİYE SAN.VE TİC.LTD.ŞTİ. | ER-MO NALBURİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ | ER-MO NALBURİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,4,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | İntermob | İstanbul Hırdavat Fuarı,False,A,HIGH,Auto merge candidate,0,1,5366563336,ermo.com.tr,bilgi@ermo.com.tr
marker kimya,13152|17419|28085|34759,MARKER KiMYA SAN. VE TiC. LTD. ŞTi. | Marker Kimya Sanayi ve Ticaret Limited Şirketi | MARKER KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ | MARKER KIMYA SAN. LTD. STI.,4,Adhesives and Bonding Eurasia | IDEF | Paintistanbul & TURKCOAT  | Saha Expo,False,A,HIGH,Auto merge candidate,0,1,3243572424,marker.com.tr,info@marker.com.tr
miltas kesici takim havacilik savunma,12977|17471|21370|26120,MILTAS KESICI TAKIM HAVACILIK VE SAVUNMA SAN. TIC. LTD. STI. | MİLTAŞ KESİCİ TAKIM HAVACILIK VE SAVUNMA SAN. TİC. LTD. ŞTİ. | MILTAS KESICI TAKIM HAVACILIK VE SAVUNMA SAN. TIC. LTD. STI. | MİLTAŞ KESİCİ TAKIM HAVACILIK VE SAVUNMA SAN. TİC. LTD. ŞTİ.,4,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | Maktek Avrasya | Saha Expo,False,A,HIGH,Auto merge candidate,0,1,2165931303,miltas.com.tr,info@miltas.com.tr
ovis bilisim teknolojileri,14493|17551|18113|28223,OVİS BİLİŞİM TEKNOLOJİLERİ | Ovis Bilişim Teknolojileri Ticaret Limited Şirketi | OVIS BILISIM TEKNOLOJILERI TIC. LTD. STI | OVİS BİLİŞİM TEKNOLOJİLERİ TİC. LTD. ŞTİ.,4,IDEF | Maktek Avrasya | Saha Expo | WIN EURASIA,False,A,HIGH,Auto merge candidate,0,1,2129510600,ovis.ist,info@ovis.ist
