normalized_name,company_ids,original_names,fair_count,fair_names,same_fair_overlap,scenario,confidence,recommendation,duplicate_relation_count,country_ids,phones,websites,emails
yoldas endustri urunleri,654|809|2387|11480|28762|32413|34470,YOLDAŞ ENDÜSTRİ ÜRÜNLERİ SAN.VE TİC.A.Ş. | YOLDAŞ ENDÜSTRİ ÜRÜNLERİ SAN.VE TİC.A.Ş. | YOLDAS ENDÜSTRI ÜRÜNLERI SANAYI VE TICARET A.S. | YOLDAŞ ENDÜSTRİ ÜRÜNLERİ SANAYİ VE TİC. A.Ş. | YOLDAŞ ENDÜSTRİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş. | YOLDAŞ ENDÜSTRİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş. | Yoldaş Endüstri Ürünleri San. ve Tic. A.Ş.,7,AVRASYA KAPI FUARI | AVRASYA PENCERE FUARI | ISK-SODEX | KARAVAN SHOW EURASIA | Yapı Fuarı İstanbul | İntermob | İstanbul Hırdavat Fuarı,False,A,REVIEW,Manual review suggested,0,1,2164664949 | 902164664949,yoldasgroup.com | yoldasgrup.com,fabrika@yoldasgrup.com | info@yoldasgrup.com | sedaendustri@yoldasgrup.com
a r t yayincilik,19412|22344|25632|31899|32195|32743,A.R.T. YAYINCILIK LTD. STI | A.R.T. YAYINCILIK | A.R.T. YAYINCILIK LTD. ŞTİ. | A.R.T YAYINCILIK LTD. ŞTİ. | A.R.T. YAYINCILIK LTD. ŞTİ. | A.R.T. YAYİNCİLİK LTD.,6,Ankiros | Kalite '25 | Kauçuk Avrasya Fuarı | Maktek Avrasya | Plast Eurasia İstanbul | Wire - Tube Eurasia ,False,A,REVIEW,Manual review suggested,0,1,2163495240 | 3495240 | 902163495240,artyayincilik.com,artyayincilik@artyayincilik.com | hkemalcagin@artyayincilik.com | info@turkishautomationreport.com
fbc yayincilik,2615|26135|27818|30549|32183|34733,FBC YAYINCILIK SAN. VE TIC. LTD. STI. | FBC YAYINCILIK SAN.VE TİC.LTD.ŞTİ. | FBC YAYINCILIK SAN. VE TİC. LTD. ŞTİ. | FBC YAYINCILIK SAN. VE TİC. LTD. ŞTİ. | FBC YAYINCILIK SAN. VE TİC. LTD. ŞTİ. | FBC YAYINCILIK SAN. VE TIC. LTD. STI.,6,ALUEXPO | Adhesives and Bonding Eurasia | IDEF | Maktek Avrasya | Plast Eurasia İstanbul | Wire - Tube Eurasia ,False,A,REVIEW,Manual review suggested,0,1,2124814238 | 904814238,http: | metalsandergisi.com,fkoc@metalsandergisi.com | info@kablosanturkey.com | info@metalsandergisi.com
smc turkey otomasyon,2826|3282|14542|21533|22191|22327,SMC TURKEY OTOMASYON A.S. | SMC TURKEY OTOMASYON | SMC TURKEY OTOMASYON | SMC TURKEY OTOMASYON A.S. | SMC TURKEY OTOMASYON A.S. | SMC TURKEY OTOMASYON A.S.,6,Avrasya Ambalaj | Maktek Avrasya | Plast Eurasia İstanbul | Robot Yatırımları Zirvesi ve Sergisi | WIN EURASIA | WoodTech,False,A,REVIEW,Manual review suggested,0,1,21248440 | 2124890440,smc.eu | smcturkey.com.tr,info@smc.eu | info@smcturkey.com.tr | satis@smcturkey.com.tr
asil celik,841|16936|19398|27537|30783,ASIL ÇELIK | Asil Çelik Sanayi ve Ticaret A.Ş. | ASIL ÇELIK SAN. VE TIC. A.S. | ASİL ÇELİK SANAYİ VE TİCARET A.Ş. | ASİL ÇELİK SAN TİC AŞ,5,ALUEXPO | Ankiros | IDEF | METAL EXPO EURASIA İSTANBUL | Saha Expo,False,A,REVIEW,Manual review suggested,0,1,2242806100 | 902627816010,asilcelik.com.tr,gulay.kocatas@asilcelik.com.tr | info@asilcelik.com.tr | purchasing@asilcelik.com.tr | sales@asilcelik.com.tr | satis@asilcelik.com.tr
atha makina,12796|14887|22414|25928|32607,ATHA MAKİNA A.Ş. | ATHA MAKİNA | Atha Makina A.S. | ATHA MAKİNA A.Ş. | ATHA MAKİNA A.Ş.,5,Avrasya Ambalaj | F İSTANBUL | Foteg İstanbul | PetZoo Eurasia | İDMA İstanbul Fuarı,False,A,REVIEW,Manual review suggested,0,1,02323757422 | 2323757422 | 902323757422,athapack.com,info@athapack.com
bilginoglu endustri malz,6199|12886|18074|19451|30491,BILGINOGLU ENDÜSTRI MALZ. SAN. TIC. A.S. | BILGINOGLU ENDÜSTRI MALZ. SAN. TIC. A.S. | BILGINOGLU ENDÜSTRI MALZ. SAN. TIC. A.S. | BILGINOGLU ENDÜSTRI MALZ. SAN VE TIC. A.S. | BİLGİNOĞLU ENDÜSTRİ MALZ. SAN. VE TİC. A.Ş.,5,ALUEXPO | Ankiros | Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | Maktek Avrasya,False,A,REVIEW,Manual review suggested,0,1,2324337230 | 902324337230,bilginoglu-endustri.com.tr,info@bilginoglu-endustri.com.tr
kama pres,2618|5839|10473|26117|29645,KAMA PRES SANAYI VE TICARET A.S. | KAMA PRES SAN. VE TIC. A.S. | KAMA PRES SAN. VE TİC. A. Ş. | KAMA PRES SANAYİ VE TİCARET A.Ş. | KAMA PRES,5,Expomed Eurasia - Medikal Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | IBAKTECH | Plast Eurasia İstanbul | WIN EURASIA,False,A,REVIEW,Manual review suggested,0,1,2126552100 | 902126552100,kama.com.tr,finans@kama.com.tr | info@kama.com.tr | muhasebe@kama.com.tr | sales@kama.com.tr | satinalma@kama.com.tr | satis@kama.com.tr
otte endustriyel izolasyon mat kag kim mad,6261|15424|22615|22907|28748,OTTE ENDÜSTRIYEL IZOLASYON MAT.KAG.KIM.MAD.SAN.TIC.LTD.STI | OTTE ENDÜSTRİYEL İZOLASYON MAT.KAĞ.KİM.MAD.SAN.VE TİC.LTD.ŞTİ | OTTE ENDÜSTRIYEL IZOLASYON MAT. KAG. VE KIM. MAD. SAN. TIC. LTD. STI. | OTTE ENDÜSTRIYEL IZOLASYON MAT.KAG.KIM.MAD.SAN.TIC.LTD.STI | OTTE ENDÜSTRİYEL İZOLASYON MAT.KAĞ.KİM.MAD.SAN.TİC.LTD.ŞTİ,6,AVRASYA PENCERE FUARI | Fespa Eurasia | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | Promo Gift İstanbul | Sign İstanbul | İntermob,False,A,REVIEW,Manual review suggested,0,1,2362330707 | 5073666934,otte.com.tr,info@otte.com.tr
sertel vida metal,2358|6280|11432|12914|23131,SERTEL VIDA METAL A.S. | SERTEL VIDA METAL A.S. | SERTEL VİDA METAL A.Ş. | SERTEL VIDA METAL A.S. | SERTEL VİDA METAL A.Ş.,5,AVRASYA PENCERE FUARI | Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | Yapı Fuarı İstanbul | İstanbul Hırdavat Fuarı,False,A,REVIEW,Manual review suggested,0,1,3243280065 | 3246764784,serteltools.com | sertelvida.com,info@serteltools.com
