normalized_name,company_ids,original_names,fair_count,fair_names,same_fair_overlap,scenario,confidence,recommendation,duplicate_relation_count,country_ids,phones,websites,emails
ada kupa seramik ic dis,4964|5082|18371|20587|20588,ADA KUPA SERAMIK IÇ DIS TIC. LTD. STI. | ADA KUPA SERAMIK IÇ DIS TIC. LTD. STI. | Ada Kupa Seramik İç ve Dış Tic. Ltd. Şti. | ADA KUPA SERAMİK İÇ VE DIŞ TİC. LTD. ŞTİ. | Ada Kupa Seramik İç Dış Tic. Ltd. Şti.,4,Promosyon Show | Zuchex | İstanbul Kırtasiye Ofis Fuarı | İstanbul Oyuncak Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2166610232 | 5321528338,adaseramik.com | adaseramikkupa.com,info@adaseramik.com
cakmak ev gerecleri,5218|11268|20698|26113|30116,ÇAKMAK EV GEREÇLERİ SANAYİ VE TİC.  | ÇAKMAK EV GEREÇLERİ SANAYİ VE TİC. LTD.ŞTİ | ÇAKMAK EV GEREÇLERİ SAN. VE TİC. LTD. ŞTİ. | ÇAKMAK EV GEREÇLERİ SANAYİ VE TİC.LTD.ŞTİ. | CAKMAK EV GERECLERI SAN. TIC. LTD. STI.,4,HOST Istanbul Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | Yapı Fuarı İstanbul | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,35232140 | 3523214090,cakmakmetal.com,export@cakmakmetal.com | info@cakmakmetal.com | ozgur@cakmakmetal.com
nordmann rassmann turkey dis,2681|10654|13165|25741|31873,"NORDMANN RASSMANN TURKEY DIS TIC. A.S. | NORDMANN RASSMANN TURKEY DIS TIC. A.S. | NORDMANN, RASSMANN TURKEY DIŞ TiCARET A.Ş. | NORDMANN RASSMANN TURKEY DIŞ TİC. A.Ş. | NORDMANN RASSMANN TURKEY DIŞ TİC AŞ",4,Kauçuk Avrasya Fuarı | Paintistanbul & TURKCOAT  | Plast Eurasia İstanbul | RePlast Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,2168080001 | 2168080012 | 2168080015 | 5315034476,nordmann.global,info-de@nordmann.global | info-tr@nordmann.global | info@nordmann.global | max@mustermann.de
seritcioglu izzet ancel seritcioglu,4608|18280|22328|28792|32401,SERITÇIOGLU SAN.VE TIC. IZZET ANCEL SERITÇIOGLU | SERITÇIOGLU SAN.VE TIC. IZZET ANCEL SERITÇIOGLU | SERITÇIOGLU SAN.VE TIC. IZZET ANCEL SERITÇIOGLU | ŞERİTÇİOĞLU SAN.VE TİC. İZZET ANCEL ŞERİTÇİOĞLU | ŞERİTÇİOĞLU SAN.VE TİC. İZZET ANCEL ŞERİTÇİOĞLU,3,WoodTech | İntermob | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2122251120 | 5333465141 | 902122201120,seritcioglu.com,seritcioglu@seritcioglu.com
airbags plastik paz,6730|20596|20597|30154,AIRBAGS PLASTIK PAZ. SAN. VE TIC. LTD. STI. | AİRBAGS PLASTİK PAZ. SAN. VE TİC. LTD. ŞTİ.  | Airbags Plastik Paz. San. ve Tic. Ltd. Şti. | AİRBAGS PLASTİK PAZ. SAN. VE TİC. LTD. ŞTİ.,2,AYMOD - Ayakkabı Moda Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,26250200 | 2625020090,airbagsplasik.com.tr | airbagsplastik.com.tr,airbags@airbagsplastik.com.tr
ariteks boyacilik,8972|22936|27513|34477,ariteks boyacilik | ARITEKS BOYACILIK TİCARET VE SAN.A.Ş. | ARITEKS BOYACILIK TİC. SAN. A.Ş. | Arıteks Boyacılık Tic. ve San. A.Ş.,3,IDEF | Motobike İstanbul Fuarı | İstanbul Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,,ariteks.net | tr.ariteks.net,info@ariteksinfo.com | support@ariteksinfo.com
cagdas kagit ambalaj,1692|2310|21779|31325,ÇAĞDAŞ KAĞIT AMBALAJ SAN. VE TİC. LTD. ŞTİ. | ÇAGDAS KAGIT AMBALAJ SAN VE TIC LTD STI | ÇAGDAS KAGIT AMBALAJ SAN. VE TIC. LTD. STI. | ÇAĞDAŞ KAĞİT AMBALAJ SAN VE TİC LTD ŞTİ,3,AVRASYA PENCERE FUARI | Avrasya Ambalaj | Fespa Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,2126741625 | 90212711,cagdaskagit.com,cagdaskagitambalaj@hs01.kep.tr | info@cagdaskagit.com | u003ecagdaskagitambalaj@hs01.kep.tr | u003einfo@cagdaskagit.com
forza iplik,1858|4728|24124|32448,FORZA IPLIK AS | FORZA İPLİK A.Ş. | FORZA İPLİK ANONİM ŞİRKETİ | FORZA İPLİK ANONİM ŞİRKETİ,2,CFE - Carpet and Flooring Expo | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2128790825 | 3423234743 | 903423234743,forzajute.com,export@forzajute.com | info@forzajute.com | muhasebe@forzajute.com | pazarlama@forzajute.com
sulekler tekstil,4821|7842|8169|28954,SÜLEKLER TEKSTİL SAN VE TİC. A.Ş. | SÜLEKLER TEKSTİL SAN.VE TİC.A.Ş. | SÜLEKLER TEKSTIL | SULEKLER TEKSTIL SANAYI VE TICARET A.Ş.,3,HOMETEX | Texhibition İstanbul | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2247149380,sulekler.com,esma_snl@hotmail.com | info@sulekler.com | infotex@sulekler.com | istanbul@sulekler.com
zeki mensucat,23688|24117|28823|31497,ZEKİ MENSUCAT SANAYİ VE TİCARET A.Ş. | ZEKİ MENSUCAT SANAYİ VE TİCARET A.Ş. | ZEKİ MENSUCAT SANAYİ VE TİCARET A.Ş. | ZEKİ MENSUCAT SANAYİ VE TİCARET A.Ş.,3,CFE - Carpet and Flooring Expo | HOMETEX | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,8503935300 | 908503935300,zekimensucat.com.tr,buraksavrun@zekimensucat.com.tr | info@zekimensucat.com.tr | santral@polyinnova.com.tr
